mid-June; lawsuit; anti-abortion advocates.; country.; police.; martial-arts weapon; police; compliance.; nunchakus; Hundreds; Los Angeles Police Department; demonstrator; persistent complaints; serious injury; numerous suits; double standard.; widespread calls; national movement; national conscience; recent months
reason; others; Constitutional Convention; subsequent term-limit proposals; First Congress; frequent re-elections; term limits; good behavior; members; masters; term limitations; Fla.; people; public business; presidency; Federalists; natural rights; Claude Pepper; Everett Dirksen; power
blow; California; states; Friday; proposal; R-Kan; large immigrant populations; R-Miss; R-Calif; Senate; questionnaires; years; action; number; question; opponents; senators; Opponents; problems; issue
years; vast part; nation; farm empire; drought; heat parched crops; previous years; postmortem; state-by-state breakdowns; Survey; production; information; infusion; livestock; personal interviews; Basic findings; USDA; non-drought regions; non-drought region; grain
new year ushers; new wildfire season; unwelcome thought; residents; Mont.; Clover-Mist blazes; curious weekenders; Business; Neb.; man hours; Bearclaw Service; citizens; Smiths; Smiths; mid-September; information; Cooked City; owner; wag; seasonal residents
death squad; Path guerrillas; district attorney; charges; soldiers; person; government; Police; government party; lawyer; members; last year; office; Osman Morote; official; Maoist group; Officials; policemen; Cayara; dozens
President Reagan; Saturday; welfare legislation Congress; D-N.Y.; vacation ranch; work requirement; talk; response; president; celebration; plans; way; program encouraging states; people; miles; May figure; Democrats; Rep. Thomas J. Downey; message; economic record
PRESIDENT Bill Clinton yesterday; task-force; days; US social safety net; Association; National Governors; welfare programmes; measures; people; people; NGA task-force; five-page statement; new administration; 21-point plan; goals; funding; Many states; time people; bill; job training
small motor home; Joanne Pierluissi; sleeve; nurse Mary Perez; needle; blood; Hispanics; deadly killer; four-member team; people; Hispanics; family; forearm; program; vein; Pierluissi; Hispanics; mobile home; city; daughters
U.S. Air Force F-16 fighter jets; air today; accident; air force spokeswoman; in-flight crash; F-16; p.m.; person; EDT; preliminary information; area; training mission; hours; populated area; pilot; experts; Bodenheim; Identities; miles; Baden-Soellingen
state-by-state look; tornadoes; hundreds; severe thunderstorms; people; Wednesday
Rescuers; homes; shops today; victims; 3-mile stretch; cave; S.C.; destruction; survivors; city blocks; rubble; 25-mile path; tornado; parts; states; tornado strus.C.; damage Friday; people; homeless; blender
tornado; North Florida town; dawn today; several homes; rooftops; college library; house-to-house search; officials; 12-mile swath; destruction; Rescue units; people; dispatcher; area; office; man; adjoining counties; Southeast; Marie Prince; minutes
State statutes; first-time candidates; Congress; qualifications; Fiorina; Constitution; term-limit initiative; year; Dillon; incumbents; strong interests; constitutionality; non-discriminatory manner; associational rights; Carter; decision; state; example; candidates; state statutes
statement; day; cease-fire; sides; plan; Western-brokered cease-fire.; effect.; Serbia.; 12-point list; state; moratorium.; military statement.; federal government.; Yugoslavia.; three-month delay; independence declarations.; republic leaders; demands; police; political keystone
Tiny Third World businesses; microloans; security; microloans; favorable credit rating; money; microlending; rabbit-breeding business; people; loan sharks; thing; clutches; farm output; free-market economics; Mr. Btesh; co-founder; business; wife; Ms. Romanow; hard times
Coast Guard; Navy aircraft; vessels today; crewman; N.C.; Washington Moscuso; people; hangars; people; Navy fliers; Authorities; F-14 jet fighter; Va.; Va.; Navy aviators; airfield; nearby restaurant; extension; crewmate; mock dogfights
major issue; Census; decision; effort Tuesday; Congress; R-Pa.; military personnel; power; D-Calif; committee; question; illegal aliens; states; state; House reapportionment; national head count; House; census numbers; Rep.; Opponents
reporter; Anita Hill; chance; him.; hometown crowd; heart; nothing; life; God; birthplace; out.; Pinpoint Georgia; one; handwritten sign; main thoroughfare; valley; death; big-screen television; sorrow; majority
movies; world; attention; glare; presidential polyps; fame; intense scrutiny; credibility; flat denials; giddy tabloids; publicists; Liz Taylor; bout; rumors; brilliant career; major fund-raiser; everyone; President; press recording; friendship
SLOVENES; Alpine neighbours; Balkan partners; 2m people; endence; former Yugoslavia; war-impoverished rest; indep; war-torn regions; thanks; convenient cordon sanitaire; gap; resolution; burgs; Slovenia; point; cargoes; region; ever-decreasing volume; proximity
Mr. Goldwin; mistake; sufficient condition; Second Amendment; control; language; great thoughts; 200-year-old document; personal celebration; history; people; visionary men; history; fear; power; conscientious-objector provision; Framers; people; well-regulated militia; preservation
temptation; American politics; vengeance; political institutions; adversaries; ill-considered radical surgery; term-limitation backers; political trend-setter; plan; recovery room; therapy; indiscriminate clean-out; enthusiastic puffers; deliberative bodies; F.D.R.; professional staffs; operations; quality; vulnerability; shock-trauma unit
GENERAL ACCIDENT; British insurer; yesterday; Lord Airlie; insurance; chairman; information; company; extraordinary shareholders; area; post-tax loss; losses; Hurricane Andrew; Dollars 40m; company; area; external catastrophe reinsurance; Pounds 20m; Louisiana; US operations
Jwaneng mine; fringes; Kalahari desert; gem; stability; world; Russia; Debswana; Botswana; Finsch; control; powerful base; gems; 100-year-old mines; USDollars 160m expansion programme; underground development; Central Selling Organisation; world trade; output; company
Clinton administration; support; so-called NADBank; communities; projects; North American Development Bank; pro-Nafta fold; pro-Nafta campaign; people; Agreement; intimate briefings; lending institution; twist arms; undecided congressmen; reason; anti-Nafta forces; job losses; days; pro-Nafta votes; bargain
Alphonce Swai; Olympics; Tanzania; comeback bid; Trib 10K; alcoholism; U.S. competitors; prey; race; a.m.; time; N.M.; way; yards; Cabrillo Monument; course; direction; Balboa Park; Toas; African runners
KEY Hispanic groups; US; stringent side agreements; worker rights; support; condition; support; Nafta; giant opportunity; Nafta; Leaders; official position; Nafta; Nafta; plan; environment; Hispanic backing; fundamental changes; supporters; Trade
